🟢 Entry: 2025-02-17 06:03:00+00:00 | Price: 8400.4501953125 | RSI: 33.22623887756539
🔴 Exit: 2025-02-17 07:19:00+00:00 | Price: 8428.7998046875 | RSI: 64.60704424882539
🟢 Entry: 2025-02-18 03:54:00+00:00 | Price: 8381.849609375 | RSI: 31.05297894049595
🔴 Exit: 2025-02-18 04:23:00+00:00 | Price: 8455.150390625 | RSI: 67.7060585810666
🟢 Entry: 2025-02-18 04:53:00+00:00 | Price: 8420.4501953125 | RSI: 34.94665288193017
🔴 Exit: 2025-02-18 06:16:00+00:00 | Price: 8416.5 | RSI: 66.42497470067661
🟢 Entry: 2025-02-19 03:45:00+00:00 | Price: 8450.0 | RSI: 42.06971994393658
🔴 Exit: 2025-02-19 04:20:00+00:00 | Price: 8512.349609375 | RSI: 61.26176512838509
🟢 Entry: 2025-02-19 09:02:00+00:00 | Price: 8416.900390625 | RSI: 31.773471999864235
🔴 Exit: 2025-02-20 05:43:00+00:00 | Price: 8402.099609375 | RSI: 66.89552231665215
🟢 Entry: 2025-02-21 04:11:00+00:00 | Price: 8354.0 | RSI: 30.878060887870575
🔴 Exit: 2025-02-21 05:37:00+00:00 | Price: 8358.2998046875 | RSI: 67.13752439221025
🟢 Entry: 2025-02-21 07:32:00+00:00 | Price: 8372.5 | RSI: 37.320271998615866
🔴 Exit: 2025-02-21 09:03:00+00:00 | Price: 8393.2998046875 | RSI: 67.28995532863571
